song_id,title,category
1,Thank You!,全体曲
2,キラメキ進行形,ソロ曲
3,透明なプロローグ,ソロ曲
4,トキメキの音符になって,ソロ曲
5,Maria Trap,ソロ曲
6,Precious Grain,ソロ曲
7,Legend Girls!!,ユニット曲
8,素敵なキセキ,ソロ曲
9,ハッピー☆ラッキー☆ジェットマシーン,ソロ曲
10,Happy Darling,ソロ曲
11,オレンジの空の下,ソロ曲
12,Rebellion,ソロ曲
13,PRETTY DREAMER,ユニット曲
14,アフタースクールパーリータイム,ソロ曲
15,朝焼けのクレッシェンド,ソロ曲
16,ライアー・ルージュ,ソロ曲
17,Snow White,ソロ曲
18,Blue Symphony,ユニット曲
19,微笑み日和,ソロ曲
20,POKER POKER,ソロ曲
21,Be My Boy,ソロ曲
22,プライヴェイト・ロードショウ (playback Weekday),ソロ曲
23,Sentimental Venus,ユニット曲
24,恋のLesson初級編,ソロ曲
25,FIND YOUR WIND!,ソロ曲
26,追憶のサンドグラス,ソロ曲
27,流星群,ソロ曲
28,Marionetteは眠らない,ユニット曲
29,マイペース☆マイウェイ,ソロ曲
30,君想いBirthday,ソロ曲
31,ちいさな恋の足音,ソロ曲
32,嘆きのFRACTION,ソロ曲
33,カワラナイモノ,ユニット曲
34,ホップ♪ステップ♪レインボウ♪,ソロ曲
35,グッデイ・サンシャイン!,ソロ曲
36,オリジナル声になって,ソロ曲
37,ハートウォーミング,ソロ曲
38,Good-Sleep Baby♡,ユニット曲
39,Helloコンチェルト,ユニット曲
40,スマイルいちばん,ソロ曲
41,あのね、聞いてほしいことがあるんだ,ソロ曲
42,チョー↑元気Show☆アイドルch@ng!,ソロ曲
43,GREEDY GIRL,ソロ曲
44,フェスタ・イルミネーション,ソロ曲
45,ココロ☆エクササイズ,ソロ曲
46,ハッピ〜 エフェクト！,ソロ曲
47,恋花,ソロ曲
48,瞳の中のシリウス,ユニット曲
49,想いはCarnaval,ソロ曲
50,Get My Shinin’,ソロ曲
51,FLY TO EVERYWHERE,ソロ曲
52,DETECTIVE HIGH! 〜恋探偵物語〜,ソロ曲
53,Fu-Wa-Du-Wa,ユニット曲
54,IMPRESSION→LOCOMOTION！,ソロ曲
55,恋心マスカレード,ソロ曲
56,ハミングロード,ソロ曲
57,デコレーション・ドリ〜ミンッ♪,ソロ曲
58,ココロがかえる場所,ユニット曲
59,微笑んだから、気づいたんだ。,ソロ曲
60,Heart♡・デイズ・Night☆,ソロ曲
61,dear...,ソロ曲
62,ビギナーズ☆ストライク,ソロ曲
63,Bigバルーン◎,ユニット曲
64,Welcome!!,全体曲
65,合言葉はスタートアップ！,ユニット曲
66,地球ミラーボウル,ソロ曲
67,ストロベリー・キューピッド,ソロ曲
68,Liar's good bye,ソロ曲
69,タイムマシンに飛び乗って！,ソロ曲
70,smiley days,ソロ曲
71,Growing Storm!,ユニット曲
72,...In The Name Of。 ...LOVE?,ソロ曲
73,VIVID イマジネーション,ソロ曲
74,空想文学少女,ソロ曲
75,Believe my change!,ソロ曲
76,未来飛行,ソロ曲
77,Shooting Stars,ユニット曲
78,夢色トレイン,ソロ曲
79,サマ☆トリ ~Summer trip~,ソロ曲
